V1,V2,V3
K,7,3
BW,107,0
BW,157,1
BO,52,1
M,16,2
AJ,129,0
BO,38,1
BO,44,1
BH,18,2
X,24,3
AH,81,1
W,20,3
AU,14,1
Y,32,0
AJ,40,3
BD,3,0
R,23,7
AQ,4,1
BV,24,4
AJ,55,2
K,31,0
K,2,1
BO,35,0
AJ,85,1
AH,8,1
AJ,14,1
W,28,7
AJ,117,1
K,10,1
BT,11,0
X,12,4
AX,4,1
BT,43,4
Q,3,1
R,17,3
BU,38,5
K,77,1
X,45,2
AI,17,1
BP,8,0
AU,11,3
AO,7,1
K,81,2
K,74,0
AJ,54,1
M,16,2
BO,47,1
AJ,129,0
AX,4,1
BT,11,0
W,16,3
AJ,29,3
AU,58,0
AH,69,0
AU,54,2
AR,1,2
AX,4,1
AH,8,1
BH,29,2
K,7,5
BW,3,0
AU,11,3
AU,14,2
BZ,28,0
AO,11,4
AQ,17,1
K,7,5
BT,72,2
M,16,2
BW,42,0
Y,9,3
BW,3,0
BW,96,0
BW,160,1
AU,14,1
AJ,129,0
Y,9,0
AL,14,0
W,16,3
BW,3,0
BP,17,0
BU,5,0
AJ,52,1
AJ,40,3
AJ,58,2
X,38,1
AU,14,1
K,60,0
AR,41,2
W,4,0
K,61,0
K,62,3
Y,4,0
AO,7,6
AQ,31,0
Q,15,0
L,14,2
Y,34,1
X,38,5
AO,7,6
Y,32,2
K,80,4
X,45,5
AJ,52,0
AJ,52,0
AU,14,0
BW,168,1
X,12,4
K,3,1
BW,156,0
AJ,40,3
AJ,43,1
BW,167,0
AJ,52,1
W,2,4
AO,1,10
K,3,2
BU,31,0
BH,12,2
M,16,2
K,3,5
X,45,2
D,21,0
BW,115,0
P,23,0
AJ,122,1
AU,11,3
BW,3,0
AJ,122,3
X,38,1
BH,29,5
O,10,4
Q,22,4
BO,44,2
AJ,40,0
BW,95,0
AU,58,0
K,7,5
BH,7,1
D,6,1
K,81,2
BO,36,0
P,13,0
E,23,0
Q,43,0
BW,3,0
AH,69,0
BW,3,0
X,9,2
BZ,14,1
BV,8,1
BV,24,2
L,49,1
AJ,48,1
Y,34,1
X,24,9
AX,4,1
BH,20,10
AU,40,0
R,1,1
Q,22,3
BT,50,1
AL,14,0
BO,53,1
BP,6,0
D,20,0
AJ,58,3
M,13,2
AO,11,4
X,52,1
AJ,40,3
BU,38,8
K,2,2
AX,4,1
X,38,0
BF,35,1
AU,14,1
BW,167,0
K,81,2
AJ,122,3
X,24,1
AO,7,6
K,7,3
K,40,3
AJ,49,1
AU,11,0
K,77,1
AJ,14,1
W,16,5
AJ,129,3
X,24,1
AH,70,0
BW,96,0
BZ,16,1
AR,41,1
K,10,1
AJ,14,3
BV,20,3
W,16,3
L,26,2
AJ,55,2
W,28,6
BO,38,5
R,20,3
K,7,1
AJ,58,3
Y,29,0
AJ,129,3
BW,95,0
AJ,48,1
D,1,0
K,35,4
BW,79,2
X,45,8
AU,58,0
AF,4,0
BW,3,0
AJ,14,3
Y,10,2
BW,112,0
AU,49,0
AJ,40,1
X,28,2
AX,4,1
AJ,129,1
AU,58,0
K,75,0
K,35,4
AU,35,0
K,65,3
BW,176,0
W,4,6
W,4,4
X,40,0
AU,58,0
W,28,6
AU,14,1
AJ,54,1
AU,40,0
AJ,49,1
K,7,4
BW,3,0
W,28,7
BW,157,1
X,38,0
AJ,129,3
AJ,58,3
K,3,2
K,61,0
AH,31,1
AH,8,1
AJ,54,3
AH,168,1
AO,7,13
AU,54,2
I,3,4
W,16,5
AO,7,6
AU,43,0
AJ,129,0
L,29,0
AU,14,1
AL,53,0
BW,57,0
Y,9,0
AU,14,0
AJ,113,2
Y,42,2
K,39,0
AL,72,0
AJ,48,1
AU,58,0
O,10,3
K,65,5
K,39,0
BO,36,4
BW,3,0
K,7,3
AU,77,0
BW,43,0
AJ,38,1
X,45,8
Y,9,4
AZ,28,2
AJ,54,2
BW,176,0
Y,32,1
W,4,6
AU,40,0
D,20,0
BV,11,0
BO,36,0
K,20,4
M,16,1
AO,1,10
AU,14,0
X,45,4
Y,34,0
Q,43,0
AR,35,0
M,16,1
AU,1,0
AJ,58,2
AJ,48,1
K,3,1
AJ,123,1
Y,42,2
AJ,52,0
BW,48,1
AO,7,1
W,4,4
Y,4,0
AU,11,3
BW,95,0
K,7,2
BW,126,0
AU,58,0
AJ,44,0
BO,38,1
K,75,0
AR,41,1
BV,3,2
AU,58,0
AO,7,13
AL,42,0
AU,16,0
BW,49,1
X,38,0
K,7,0
K,65,5
I,29,0
M,18,1
AO,1,3
AJ,77,2
AO,20,4
L,26,1
AO,1,1
M,16,2
X,24,9
L,49,1
BO,47,1
P,18,0
BO,52,1
AJ,123,3
BW,157,1
AJ,129,3
AH,65,0
BW,58,0
AJ,121,1
AJ,40,0
AU,11,3
AH,6,1
AJ,52,0
AO,7,6
Y,45,0
BW,150,0
AU,14,0
BP,24,0
BV,8,1
AR,35,0
BW,40,1
AJ,29,3
K,34,4
AU,58,0
BO,35,0
BW,167,0
AL,101,0
W,16,3
W,28,7
K,3,2
BH,18,6
R,32,13
W,28,5
BV,11,0
BW,176,0
K,2,1
AQ,17,2
P,2,0
BW,3,0
BU,20,0
AJ,7,1
X,24,1
BW,178,0
AU,40,0
AH,6,1
W,16,3
AJ,129,0
AJ,122,3
X,45,9
AJ,35,1
AJ,40,0
BW,164,1
L,29,1
Y,42,0
BW,95,0
K,65,5
Y,42,1
K,7,1
AY,37,5
K,7,5
L,26,1
BG,9,0
AJ,54,1
W,16,3
L,29,5
BF,35,1
AH,75,1
Q,43,3
BH,29,5
AJ,1,1
BW,176,0
BV,24,4
R,30,12
AO,1,3
AJ,58,2
W,16,3
BU,29,1
L,26,2
W,11,0
Y,4,2
AU,14,1
BT,43,7
BV,3,3
BV,8,1
K,80,1
AU,14,1
Y,10,2
AJ,40,3
BW,3,0
AJ,54,2
K,7,4
Y,32,1
X,45,2
K,31,0
Y,34,0
AN,11,0
AJ,121,1
W,16,6
AJ,40,0
W,8,0
BH,18,10
BW,160,1
L,29,5
AQ,17,1
AN,16,0
BH,18,7
AQ,17,2
K,7,3
BO,52,1
BO,36,3
AU,14,1
BO,47,1
R,34,1
AH,69,0
AJ,122,3
I,3,4
BW,107,0
Z,43,0
X,45,8
AH,69,0
BO,44,2
K,63,3
AF,24,1
K,7,3
BV,22,1
AJ,35,1
M,18,1
X,38,0
X,38,5
BW,95,0
BB,12,2
AJ,123,3
AU,14,0
AH,75,1
Q,3,1
W,4,4
K,34,4
Y,10,2
K,10,1
W,16,3
X,24,3
W,28,7
Y,32,0
W,16,5
R,30,12
AU,11,3
W,16,3
BO,38,4
Y,4,0
BU,38,6
W,4,0
BW,167,0
K,7,0
Y,10,0
AH,8,1
Y,4,0
AU,1,0
M,13,2
BW,160,1
Y,34,1
K,65,3
AJ,129,0
R,30,12
BW,157,1
AU,11,3
L,6,0
AU,11,3
BW,92,0
BW,167,0
AL,88,0
Y,11,3
Y,34,0
K,7,0
AU,58,0
BW,157,1
AO,1,7
X,49,6
X,38,0
K,82,1
AJ,122,1
AH,148,1
Y,10,0
K,65,5
BO,38,6
AJ,129,0
W,28,6
BO,53,1
Q,43,3
AU,49,0
X,9,2
AU,27,0
Y,34,1
AJ,58,2
X,45,2
AU,11,3
AJ,59,2
AJ,77,2
W,28,8
K,7,0
AJ,48,1
AJ,52,0
BO,2,1
K,2,2
AC,2,1
AU,27,0
P,24,0
BT,49,1
BZ,26,1
K,65,3
X,12,4
BO,38,2
BV,19,3
P,35,0
AO,7,14
AN,5,2
Y,42,1
BW,115,0
AU,11,3
R,20,6
AU,58,0
AU,58,0
W,3,3
Y,29,2
AJ,52,1
K,7,4
K,3,1
AQ,17,1
M,16,1
AJ,112,4
AU,58,0
AU,14,1
K,7,5
BG,13,1
W,11,1
BU,5,0
K,31,0
BF,8,2
K,7,1
AU,58,0
Y,32,2
AX,4,1
BV,19,1
Y,4,2
AU,49,0
X,38,5
Y,42,2
K,7,1
AJ,58,1
W,28,7
BO,38,3
AJ,129,3
AU,14,0
BW,156,0
X,38,5
BH,20,4
D,25,3
BW,112,0
AJ,52,0
BW,1,1
BH,18,7
X,9,4
AQ,31,0
AJ,123,3
BF,36,3
AO,7,6
W,16,3
AR,16,0
M,16,2
AU,14,1
AX,4,1
BW,96,0
X,21,1
BF,36,3
BW,3,0
BW,157,1
W,16,3
X,45,11
W,16,3
BW,115,0
BP,8,0
D,6,2
BW,58,0
AJ,58,2
BU,36,2
BW,160,1
BW,66,0
K,80,0
Y,42,0
BW,48,0
BV,8,1
AU,11,3
I,15,0
AU,49,0
AJ,77,2
AU,58,0
BW,115,0
K,75,0
K,7,5
BW,156,0
AV,1,0
AJ,129,0
Y,29,0
AU,11,3
AU,14,0
G,8,3
AJ,29,3
BO,38,1
AR,14,2
Y,34,1
AJ,112,3
Y,42,1
W,16,5
AU,11,3
AH,164,1
AJ,54,3
AU,14,1
AU,58,0
BW,156,0
BP,24,0
BW,22,1
BG,4,1
Y,10,0
BW,159,1
AO,7,4
AU,77,0
BO,47,1
AU,14,1
O,10,2
L,29,1
AH,3,1
AJ,129,0
X,52,1
K,39,0
AO,6,1
L,15,0
BO,36,0
X,45,8
W,16,3
Y,10,0
AJ,122,3
AU,11,2
AV,1,0
Y,10,0
X,9,2
BO,44,2
R,23,7
Y,32,1
BO,47,1
BO,36,0
AU,14,0
K,7,4
K,7,3
AU,16,0
X,12,4
BW,96,0
AJ,49,1
X,38,0
Z,5,0
BW,49,1
BT,43,9
BO,38,1
BF,36,3
BO,53,1
W,28,6
BW,160,1
X,12,4
NA,NA,NA
AQ,17,1
AJ,129,3
AL,14,0
AR,35,0
BW,37,1
BP,8,0
W,4,5
AO,1,1
AI,16,0
W,28,6
AN,11,3
AL,5,0
K,7,3
AU,58,0
AH,70,0
AJ,15,1
BO,38,4
BH,18,5
AJ,122,2
BF,36,4
P,24,0
BV,20,4
BW,112,0
G,8,1
BW,112,0
X,45,10
AQ,17,2
K,61,0
BH,30,5
BH,18,7
Y,32,2
K,86,2
BF,36,7
BT,63,5
P,13,0
BP,15,0
D,20,0
BO,38,1
O,10,2
AU,58,0
BZ,16,1
BP,8,0
Q,22,4
M,16,2
BG,19,1
BW,159,1
BW,95,0
Y,42,2
W,28,7
AU,11,3
AX,4,1
X,38,0
AU,58,0
AJ,123,3
Y,29,0
AH,76,1
P,2,0
BO,47,1
O,11,1
AU,50,0
BU,36,3
AU,77,0
X,24,3
L,28,2
X,21,3
BW,95,0
K,13,2
Q,43,3
D,25,1
R,30,12
AO,7,7
AJ,52,1
Y,9,1
BW,3,0
AO,7,6
BW,107,0
AQ,17,1
AH,101,0
AJ,58,1
P,24,0
AJ,40,2
BW,3,0
BO,38,4
Q,43,0
K,78,2
BW,48,1
AJ,29,3
AJ,14,3
AJ,40,2
X,24,9
AQ,31,0
AU,14,0
BO,36,0
BW,112,0
X,24,3
X,52,1
D,6,2
AU,14,0
K,74,0
AU,11,3
AQ,39,2
AJ,129,1
BT,69,4
AJ,122,3
AU,40,0
BW,107,0
R,30,13
BW,3,0
AI,23,0
BW,115,0
AJ,48,1
N,8,0
AU,14,1
M,16,2
M,11,0
AU,14,1
Q,22,4
AL,16,0
Y,10,0
AU,14,0
K,81,2
BW,157,1
K,7,3
BT,63,7
P,18,0
P,35,0
AU,54,1
X,38,0
K,7,1
AJ,9,1
AJ,129,3
AJ,52,1
K,3,1
AH,164,1
K,7,2
K,20,1
X,38,0
Y,42,2
AU,77,0
AU,58,0
Q,3,3
BW,164,1
Y,9,0
AH,69,0
AJ,38,1
BU,36,1
BW,157,1
BW,92,0
BV,8,1
AJ,123,2
Q,3,1
AL,46,0
BH,18,5
BH,18,5
K,7,5
BD,3,0
BP,23,0
K,77,1
L,51,1
BW,36,1
BP,15,0
AJ,54,1
K,96,1
BW,156,0
AJ,38,1
AJ,58,1
AO,7,7
K,7,1
K,52,2
BW,168,1
X,45,10
Y,10,0
X,45,8
AJ,40,3
AU,43,0
BF,42,0
W,4,4
BW,156,0
AO,25,2
W,28,2
I,29,2
AJ,85,1
M,13,2
AU,14,1
K,81,0
X,24,3
Y,10,0
BT,73,4
BW,157,1
BW,168,1
AV,10,2
BO,38,3
R,30,12
X,38,0
BN,3,0
AV,7,0
AU,34,0
R,15,1
Q,22,3
BO,44,1
AH,7,0
AZ,21,0
BW,168,1
AQ,32,0
AJ,123,3
AU,14,1
P,1,0
AF,8,2
AJ,129,0
BH,20,4
AJ,58,2
X,45,5
W,4,4
W,16,5
K,7,2
P,35,0
AL,71,0
BP,24,0
P,35,0
K,7,2
AJ,122,3
Q,3,1
W,16,5
W,16,3
BW,96,0
BW,174,0
AL,13,0
AU,14,2
AQ,17,1
AJ,52,0
R,1,0
Y,10,0
AO,7,6
K,3,2
BW,183,0
AL,13,0
BW,81,1
AQ,19,2
W,28,3
K,7,3
K,7,5
X,24,8
BF,36,4
BU,10,0
AJ,48,1
Y,9,0
BO,36,0
K,7,0
K,65,5
AJ,58,2
Y,10,0
AN,11,3
Q,3,1
Y,9,0
W,16,3
Y,9,0
K,7,3
X,38,0
AU,14,1
BH,18,5
AH,43,0
AJ,40,2
K,80,1
AY,9,1
O,19,1
X,45,4
Q,22,4
BW,95,0
AL,14,0
BV,6,1
BW,115,0
AJ,40,0
BU,36,2
M,13,1
BO,36,0
AU,50,0
BW,95,0
K,7,0
Y,42,2
L,49,1
AH,68,0
BF,36,7
AU,11,2
AY,64,0
AO,7,6
BW,115,0
BV,24,2
K,68,3
BV,20,3
X,12,4
Y,29,2
K,3,2
BV,11,0
AJ,77,1
E,5,0
Y,32,0
BZ,9,0
BW,115,0
X,24,3
Y,9,1
AJ,58,3
BO,44,2
X,45,8
BP,24,0
X,52,1
BO,38,3
K,7,5
BO,36,0
BW,112,0
K,3,2
AN,2,1
AU,14,0
K,65,6
BO,52,1
X,24,3
K,82,1
AJ,58,3
AQ,32,0
X,45,2
L,29,5
K,62,1
AQ,17,2
W,28,0
X,45,10
Y,1,1
AJ,58,2
M,16,1
AJ,58,2
BH,18,5
K,62,3
K,52,1
Y,4,3
Y,34,0
AI,17,0
Y,34,1
W,16,3
W,3,4
K,7,4
BO,100,1
R,23,9
BW,112,0
AU,14,2
K,11,2
AJ,14,3
W,28,0
Y,34,0
AO,7,6
W,4,4
AJ,35,2
L,26,1
L,20,2
AH,6,1
P,36,0
AX,4,1
Y,42,0
D,6,2
L,26,2
AU,1,0
AJ,129,1
M,16,2
K,7,1
AU,77,0
Y,29,0
AJ,17,1
AU,68,0
P,2,0
X,49,6
K,65,3
AN,12,0
BW,157,1
R,30,2
AY,30,1
K,7,0
BO,35,0
BW,43,0
X,45,10
BO,47,1
AJ,123,3
AJ,129,0
Y,21,3
AQ,17,1
BW,43,0
BO,20,1
K,62,3
J,7,1
N,10,1
AZ,22,0
AL,49,0
L,26,1
K,7,1
L,29,1
Y,32,1
X,45,10
AN,16,3
BF,44,1
X,38,0
AJ,49,1
BW,95,0
AJ,54,3
AU,27,0
X,45,2
BW,95,0
N,7,0
BO,35,0
AQ,17,1
L,26,1
BW,126,0
Y,9,3
K,65,6
BW,81,1
AL,14,0
K,7,5
BO,36,8
BW,96,0
AJ,35,0
AU,58,0
M,16,1
AU,14,0
L,29,1
AU,11,2
BW,96,0
BW,157,1
AJ,123,3
AU,11,3
BY,10,1
Y,10,2
BF,36,3
BO,53,1
Y,9,1
Y,10,2
AJ,129,0
X,45,10
K,7,3
BW,43,0
K,65,5
BO,38,5
R,30,12
AU,68,0
BW,49,0
BW,96,0
K,86,3
AJ,52,0
AJ,49,1
BW,3,0
Q,3,1
BO,53,1
Y,42,2
BP,23,0
AU,14,1
BF,36,0
W,4,5
L,49,1
AH,38,0
BG,19,0
AJ,9,1
AU,40,0
Q,3,1
BO,38,2
BW,168,1
Y,34,1
AJ,58,2
AJ,54,1
AF,16,0
AO,7,6
J,7,1
BV,11,0
AR,41,1
K,7,1
AQ,17,1
W,16,3
K,81,0
AJ,52,1
AU,11,2
P,33,0
BU,20,1
BW,49,1
AR,5,1
R,30,12
AU,14,2
Z,5,0
BU,36,2
X,12,4
AH,69,0
K,65,3
AR,16,0
BV,20,3
K,50,0
BU,20,1
Y,10,0
Y,4,3
BW,13,1
AR,41,3
AO,7,6
L,29,1
AO,20,2
BH,18,6
Y,34,0
Y,34,0
K,47,1
AJ,40,3
AJ,40,3
AJ,58,3
BO,47,1
X,38,0
AJ,52,0
N,17,0
AU,11,3
K,3,2
BH,18,7
BP,6,0
AI,2,0
BW,132,0
AJ,14,3
AH,106,0
BW,79,2
M,16,2
K,60,0
K,7,6
BW,3,0
D,20,0
AH,75,1
Y,34,0
BT,63,5
X,45,5
L,35,0
K,82,2
K,7,0
BW,63,1
AN,2,0
BP,15,0
K,2,1
AH,68,0
K,7,2
X,45,2
AU,34,0
K,53,3
BO,53,1
M,16,1
BV,8,3
AO,7,13
AO,1,3
AU,14,0
AY,37,5
Y,29,0
BZ,14,1
AL,42,0
K,7,3
AH,100,0
AJ,122,1
X,12,4
M,16,2
AU,11,3
W,20,3
D,25,3
Z,38,0
BO,36,0
Y,34,1
AJ,58,2
L,26,1
BW,69,1
N,26,0
P,2,0
AU,58,0
W,20,3
K,80,0
BU,38,4
BU,38,8
K,65,6
BW,164,1
Y,32,1
AR,5,1
K,65,3
AJ,121,1
K,7,3
AJ,40,2
K,13,7
BV,24,4
AJ,32,2
X,52,1
X,38,0
X,45,8
Q,3,3
BH,30,2
W,20,1
AU,11,3
AU,40,0
X,49,1
AR,5,1
AJ,58,3
Q,22,4
AJ,48,1
Y,29,0
BW,95,0
R,23,7
AH,50,0
AJ,52,0
AH,40,0
BP,6,0
BH,30,2
X,52,1
BW,49,1
X,52,1
Y,32,1
AH,75,1
BT,63,7
AU,58,0
BU,5,0
K,7,3
BW,168,1
AU,11,3
K,7,2
K,10,2
BO,52,1
X,45,10
AO,7,6
D,6,2
AH,7,0
BT,69,1
L,26,1
BP,24,0
AI,23,0
BO,2,1
G,8,3
AO,7,6
AR,41,1
AJ,58,2
X,38,0
AV,1,0
AH,106,0
AJ,77,2
I,16,0
K,3,2
AH,6,1
Y,29,2
W,16,3
Y,42,2
Y,21,2
BV,24,3
BO,36,0
W,16,3
BY,4,2
L,29,1
K,7,0
AQ,20,0
BO,38,2
L,26,1
BW,3,0
AJ,35,0
W,16,3
AU,14,1
AN,11,0
AQ,17,1
AR,5,1
AU,14,1
AJ,40,2
AU,58,0
AJ,55,2
AJ,123,1
AR,41,5
Q,22,4
BW,157,1
BG,19,0
AJ,122,3
Q,22,4
P,34,0
D,6,1
W,16,3
Q,43,2
AJ,29,3
K,7,1
Y,10,2
BB,12,2
Y,42,0
W,28,5
BW,3,0
K,3,2
AU,58,0
AJ,58,2
K,7,4
K,93,1
L,14,0
AH,70,0
X,38,0
AJ,112,5
AJ,14,1
Y,29,2
K,57,1
AJ,58,3
R,15,2
Y,32,0
BW,115,0
AH,107,0
AO,33,2
AJ,48,1
BW,154,0
AR,41,1
AR,35,0
R,22,8
AO,7,6
AU,40,0
W,8,0
O,19,0
X,24,10
BO,47,1
K,10,1
AU,25,0
BW,95,0
K,7,1
AJ,42,0
AU,58,0
AL,24,0
AR,14,2
BW,115,0
BW,13,1
Q,22,3
Y,34,0
N,8,0
K,40,3
AJ,40,0
AN,16,3
AJ,42,0
BW,167,0
AJ,54,1
W,16,4
M,13,2
M,16,1
R,20,3
R,18,0
AJ,52,0
Y,42,0
X,45,2
BH,10,1
R,30,16
BW,49,1
AJ,129,0
Y,4,1
L,49,1
AU,58,0
AJ,40,0
AJ,89,1
AJ,40,0
AN,11,0
R,30,12
Y,29,2
K,7,5
AH,100,0
AU,11,3
AU,54,3
K,78,2
BU,38,4
K,79,1
AJ,52,0
BW,107,0
Y,34,1
K,7,2
Y,36,0
K,52,3
X,45,8
L,29,5
D,11,2
BW,49,1
BH,18,6
AJ,35,0
BW,156,1
K,3,2
AU,14,0
BW,3,0
K,7,3
AU,58,0
BV,17,3
AJ,9,1
Y,34,0
AU,77,0
BW,167,0
BV,33,0
Q,22,4
AR,1,1
BU,36,2
K,93,1
AU,58,0
BW,126,0
AO,7,1
X,38,0
AU,43,0
K,75,0
AJ,49,1
AQ,17,1
AQ,17,2
AU,14,0
P,35,0
AJ,58,2
K,40,3
K,7,1
BW,96,0
AJ,49,1
K,7,0
Y,29,0
W,16,3
AJ,29,3
BW,96,0
AI,23,0
Q,3,3
BW,95,0
AZ,21,0
BW,115,0
AR,35,0
O,19,1
Y,34,0
AJ,35,1
BH,11,3
K,7,0
K,35,4
K,62,1
AH,70,0
BV,20,1
BT,31,0
I,24,1
X,45,10
P,34,0
AU,14,1
K,34,0
L,20,1
AH,137,0
K,7,1
K,3,2
BW,49,1
AU,14,1
X,45,4
AJ,48,1
BZ,27,1
K,74,0
AU,49,0
Y,34,3
AL,14,0
BF,35,1
BO,44,1
W,16,5
P,2,0
Y,4,0
X,45,4
AJ,121,1
AJ,129,0
BW,79,1
X,24,3
AO,1,10
AL,33,0
BT,43,3
BP,6,0
AJ,129,1
AJ,48,1
K,62,3
AQ,14,1
BG,4,2
BW,60,0
X,45,2
K,39,0
AU,1,1
P,33,0
AJ,123,3
D,25,6
D,21,0
L,26,1
K,7,1
AQ,19,1
AU,14,1
X,45,8
BW,96,0
O,2,0
AU,58,0
P,2,0
X,49,1
BU,38,3
K,7,1
BO,52,1
AJ,129,3
L,29,3
R,24,4
R,30,12
BD,3,0
K,7,7
AQ,20,0
AJ,122,3
K,31,0
AJ,49,1
BF,36,3
AJ,35,0
AU,69,0
AU,58,0
BW,3,0
BD,3,0
AJ,14,1
BV,24,3
AJ,58,2
BW,81,1
AL,14,0
BV,11,0
BO,15,1
K,3,2
N,25,0
D,21,0
Y,34,1
M,16,0
AL,46,0
AQ,14,2
W,16,5
K,3,1
BW,168,1
AV,1,0
K,7,1
W,16,3
X,38,7
AH,7,0
AU,14,1
O,10,4
AY,30,1
AJ,52,1
X,21,3
P,24,0
AQ,17,1
AU,14,2
X,24,1
BO,53,1
BO,53,1
BW,154,0
Q,3,3
AJ,58,2
Y,34,1
X,45,10
Y,10,0
BW,95,0
K,65,2
AJ,17,1
BO,35,0
K,3,1
AR,43,0
BO,3,1
M,16,1
AL,14,0
K,34,0
X,24,1
AU,58,0
K,7,5
AJ,40,3
AJ,48,1
BW,156,0
D,25,1
AU,14,1
AJ,54,1
X,38,7
AV,16,2
AJ,35,2
Y,34,1
AO,25,2
W,16,3
BP,24,0
BP,9,1
BW,156,0
BH,18,10
X,9,2
Y,1,1
AU,14,0
K,65,2
BO,47,1
AU,49,0
X,9,2
BO,53,1
Q,22,4
Y,9,0
Y,32,0
AN,2,1
AJ,58,1
AJ,59,2
AH,75,1
BP,24,0
AJ,52,0
BW,160,1
K,61,0
P,2,0
K,7,7
K,7,1
Y,34,1
AJ,42,0
AR,5,1
AQ,14,2
X,49,1
P,2,0
K,81,2
AR,35,0
AQ,17,1
BW,81,1
AU,49,0
AO,7,1
AV,1,0
Y,21,2
AR,41,1
K,86,2
Y,32,2
K,7,7
BW,61,0
K,80,1
BV,9,0
X,45,2
K,35,4
L,29,1
P,2,0
BW,157,1
X,24,3
AU,14,0
Y,29,2
AO,1,3
BF,35,1
W,9,0
AJ,122,1
BT,43,5
BF,20,1
K,80,2
Y,34,1
BO,44,2
W,16,3
BU,20,0
K,10,3
AF,21,0
K,40,3
AJ,35,0
AJ,40,2
W,4,4
Z,38,0
BW,3,0
AJ,58,2
AR,36,0
AO,7,6
K,7,1
AJ,54,1
AJ,40,0
BO,38,4
AO,7,6
AJ,122,3
BO,52,1
K,74,0
BW,48,0
L,28,2
AQ,39,4
O,23,0
AJ,38,0
K,7,3
BV,24,2
L,29,2
L,14,3
K,7,0
K,7,3
Y,15,0
X,45,2
K,7,0
AU,11,3
BW,115,0
M,13,2
L,29,1
BH,29,3
K,7,0
K,65,6
X,45,10
AO,7,13
AJ,19,1
AQ,20,0
AL,42,0
AJ,38,1
BW,96,0
K,65,5
BP,9,1
X,38,5
BW,3,0
AU,14,1
AR,17,0
BU,38,4
K,61,0
K,7,0
BW,48,1
AJ,35,1
P,2,0
AU,14,0
K,40,3
Q,40,2
J,10,1
K,7,1
AU,58,0
Y,10,0
BW,96,0
BW,164,1
W,4,6
AU,14,0
AO,7,1
AJ,52,1
BW,164,1
AU,77,0
X,24,1
AJ,112,4
AY,37,5
X,45,10
AX,1,1
BW,167,0
BW,40,1
BT,73,2
P,18,0
AJ,77,2
AJ,52,0
O,19,0
AQ,39,0
N,23,0
X,9,2
BW,60,0
BT,43,3
AJ,129,0
AU,27,0
AQ,17,1
AO,7,6
BF,35,2
Y,34,0
BW,168,1
AO,7,6
BO,38,1
Q,22,4
Y,36,0
X,19,2
Y,9,0
Y,4,0
K,7,1
AJ,88,2
BU,36,2
X,45,2
K,11,2
BO,60,1
BN,3,0
BH,18,2
W,4,4
AJ,54,1
BW,66,0
N,8,0
K,7,1
W,3,5
BW,115,0
K,57,1
K,69,0
AJ,54,1
X,3,2
Y,29,2
W,4,3
X,45,2
BO,36,0
Y,32,2
M,16,2
W,16,4
X,9,2
BO,44,1
BW,157,1
K,34,3
BF,29,1
AQ,39,4
X,45,8
BO,38,1
W,4,5
X,38,0
M,16,2
K,7,3
X,45,4
BT,63,4
Y,38,1
AQ,17,1
BF,37,0
K,7,1
AJ,58,2
AJ,40,0
Q,22,4
Q,3,1
AH,69,0
AZ,22,0
X,9,2
BF,36,3
K,2,4
BW,115,0
BO,38,2
R,30,12
X,24,3
BT,49,1
K,13,8
BH,18,7
AU,35,0
AQ,17,1
BW,164,1
J,10,1
Y,9,3
K,80,0
AQ,20,0
BW,112,0
BY,13,0
I,29,0
K,7,1
AH,164,0
R,30,12
W,16,3
AU,14,2
BU,36,2
AJ,58,2
BO,47,1
K,7,0
BT,63,5
BF,36,3
BO,52,1
AU,14,0
P,24,0
AU,14,2
K,7,1
M,8,2
X,12,4
AQ,14,2
BO,38,3
K,7,0
M,13,2
K,86,1
K,2,2
BH,18,5
AJ,77,1
AO,1,8
BZ,16,1
K,3,1
AJ,14,3
K,82,0
Q,22,4
BP,6,0
BF,36,3
Y,9,3
Y,34,1
BW,112,0
AJ,40,0
AJ,38,0
BO,38,2
AH,8,1
M,16,2
X,45,2
K,7,3
AJ,48,1
BU,3,1
I,8,0
AO,7,6
AU,14,0
BW,95,0
BO,38,3
AJ,129,0
AI,17,0
K,7,0
AW,1,0
M,16,1
AJ,129,3
Y,10,0
AJ,14,3
AU,49,0
P,23,0
X,45,2
BO,36,0
BO,44,2
P,2,0
K,7,4
AN,11,3
K,10,3
D,25,9
BW,112,0
K,60,0
L,28,1
K,12,1
AU,58,0
AO,7,6
Y,32,0
AU,35,0
BW,112,0
AW,1,0
Y,29,2
X,9,2
AJ,52,0
K,65,5
BP,8,0
AU,77,0
AJ,14,3
BW,115,0
BT,43,3
K,3,2
AL,42,0
BO,32,4
BP,23,0
AU,14,0
I,15,1
X,38,0
W,16,3
BH,18,6
O,10,3
BP,6,0
BO,38,1
BT,43,5
AH,106,0
AJ,52,0
BW,112,0
AJ,49,1
W,16,3
K,51,0
AR,41,1
W,4,4
AL,42,0
BH,11,1
X,28,2
AU,1,0
BO,53,1
AJ,64,1
Y,42,1
AU,11,3
BW,21,1
AU,58,0
AJ,58,2
AH,106,0
AR,5,1
AJ,15,1
L,3,1
K,86,3
AJ,5,1
BT,72,2
K,7,3
AR,41,1
BH,18,2
AU,58,0
K,7,0
BW,163,1
AO,7,1
K,7,1
BO,38,1
Y,34,1
BW,176,0
AU,58,0
AY,28,2
BW,95,0
AU,40,0
X,24,3
AO,1,10
AY,23,3
AH,125,0
BF,44,2
AL,14,0
X,45,8
